order_idx,run_idx,set_id,V_cmd,ts_us,gx_u,gy_u,gz_u,angle_x_deg,angle_y_deg,angle_z_deg
1,1,1,10.0,10550492,-2.324071,-0.14937099999999992,-0.517102,0.0,0.0,0.0
1,1,1,10.0,10564763,-2.522371,-0.11887099999999995,-0.318702,-0.03458178689099766,-0.0019140407909998697,-0.005963879441999597
1,1,1,10.0,10579036,-2.308771,-0.027371000000000034,-0.410202,-0.0690592317740003,-0.002957696823999949,-0.011165702837999995
1,1,1,10.0,10593354,-2.324071,-0.057871000000000006,-0.349202,-0.10222574765199888,-0.0035679443019999233,-0.016602276073999764
1,1,1,10.0,10607649,-3.163271,0.01842900000000003,-0.501802,-0.14144652459700055,-0.0038498559969999354,-0.022684827164000027
1,1,1,10.0,10621911,-4.948570999999999,-0.164671,-0.608602,-0.19929206989900233,-0.004892707698999968,-0.030603118088000272
1,1,1,10.0,10636213,-2.629171,-0.042570999999999914,-0.272902,-0.2534805029409983,-0.006374695240999856,-0.0369067531919998
1,1,1,10.0,10650507,-3.6210709999999997,-0.13417100000000004,-0.44080199999999997,-0.298150982514997,-0.007637870314999819,-0.04200759567999965
1,1,1,10.0,10664770,-7.557971,-0.19517099999999998,-0.547602,-0.3778743205380052,-0.009986572788000062,-0.04905639880600038
1,1,1,10.0,10679073,-12.410371,0.01842900000000003,-0.669602,-0.5206779183510047,-0.011250543201000057,-0.05776123321200035
1,1,1,10.0,10693349,-13.982071000000001,0.21682900000000016,-0.791702,-0.7090671693469895,-0.009571271597000192,-0.0681920211639995
1,1,1,10.0,10707613,-14.577171,-0.3019709999999999,-1.508902,-0.9127516832909999,-0.01017850434100022,-0.08459992889200033
1,1,1,10.0,10721921,-11.738971000000001,0.5220290000000001,-0.6391020000000001,-1.1010173631589968,-0.008604209409000245,-0.09996674950800008
1,1,1,10.0,10736224,-13.188571,0.11002900000000015,-0.532302,-1.2792866797719962,-0.004084046622000258,-0.10834404521400005
1,1,1,10.0,10750493,-10.564071,0.552529,-0.196602,-1.4487499041210026,0.0006429734289999196,-0.11354441080200024
1,1,1,10.0,10764752,-11.449071,-0.19517099999999998,-0.608602,-1.6056926000099931,0.0031907572899997653,-0.11928511271999989
1,1,1,10.0,10779036,-14.378871,-0.2714709999999999,-0.913802,-1.7901557617739927,-0.00014199987400022535,-0.13015812208799987
1,1,1,10.0,10793354,-6.199871,-0.14937099999999992,-0.578102,-1.9374789757520046,-0.0031548077520004688,-0.14083866282400073
1,1,1,10.0,10807625,-5.986271,0.0032290000000001484,-0.562802,-2.0244331919929985,-0.004197603993000397,-0.14897958331600017
1,1,1,10.0,10821895,-17.003471,-0.9123709999999999,-0.959602,-2.188465001162996,-0.010684332163000295,-0.159841935856
1,1,1,10.0,10836202,-17.430671,0.41522900000000007,-0.684902,-2.4347896359600045,-0.014240637460000422,-0.17160589522000044
1,1,1,10.0,10850471,-15.279171,0.7814290000000002,-0.608602,-2.668158003709013,-0.0057030809590001025,-0.1808343995080008
1,1,1,10.0,10864748,-16.042071,0.4915290000000001,-0.715402,-2.891744689726011,0.0033839297239998192,-0.19028580206200071
1,1,1,10.0,10879035,-16.515171,-0.2714709999999999,-0.12030200000000002,-3.124317347953003,0.004955914046999765,-0.1962556535860005
1,1,1,10.0,10893328,-14.134671,0.369429,-0.44080199999999997,-3.343356443806008,0.005655970893999782,-0.2002655833220006
1,1,1,10.0,10907603,-10.945471000000001,0.12522900000000003,-0.501802,-3.5223659573310027,0.009186592368999682,-0.2069934193720004
1,1,1,10.0,10921916,-10.350371,-0.4087709999999999,-0.364502,-3.674769650603998,0.007157424045999743,-0.2131931239480002
1,1,1,10.0,10936206,-11.128571,-0.13417100000000004,-0.517102,-3.828236691194007,0.003278103455999526,-0.21949218452800054
1,1,1,10.0,10950473,-11.326971,0.3083290000000001,-0.044001999999999986,-3.98842330005101,0.004520459548999548,-0.2234948199120006
1,1,1,10.0,10964769,-13.890571,0.262629,-0.227102,-4.1686782902670085,0.00860166733299951,-0.22543267130400058
1,1,1,10.0,10979064,-13.264871000000001,-0.14937099999999992,-0.517102,-4.362771811961993,0.009411178887999444,-0.23075186939400014
1,1,1,10.0,10993342,-9.129671,0.155829,-0.44080199999999997,-4.522646447300003,0.009457282549999448,-0.23759034605000057
1,1,1,10.0,11007599,-8.244571,0.262629,-0.410202,-4.646498731397009,0.01244026040299958,-0.24365672806400085
1,1,1,10.0,11021911,-13.295471000000001,0.23202900000000004,-0.608602,-4.800639271948993,0.01598003305099922,-0.2509472894880001
1,1,1,10.0,11036168,-15.034971,0.09472900000000006,-0.593402,-5.002592827746002,0.018309327453999324,-0.25951577500200046
1,1,1,10.0,11050493,-12.730871,-0.33247099999999996,-0.730702,-5.201465671070995,0.016606500378999387,-0.26899966990200014
1,1,1,10.0,11064749,-15.950571,0.23202900000000004,-0.974802,-5.405906989647015,0.01589054980299932,-0.2811565024140013
1,1,1,10.0,11079041,-16.316771,0.293129,-0.501802,-5.636489415579003,0.01964332887099914,-0.2917083145980008
1,1,1,10.0,11093346,-11.555871,0.35412900000000014,-0.684902,-5.835848487484006,0.024272841715999215,-0.3001962149580009
1,1,1,10.0,11107598,-9.953671,0.41522900000000007,-0.776502,-5.989125483775996,0.029755286823998847,-0.31061017986200024
1,1,1,10.0,11121911,-13.142871000000001,0.44572900000000004,-0.547602,-6.154415886599011,0.03591673275099943,-0.32008613013800113
1,1,1,10.0,11136164,-13.417471,0.7814290000000002,-0.318702,-6.343698163862012,0.04466207423799948,-0.3262598455940012
1,1,1,10.0,11150461,-12.242571,0.262629,-0.684902,-6.527128974099001,0.052125522850999015,-0.3334341087880007
1,1,1,10.0,11164770,-11.326971,0.048929,-0.486502,-6.69575726233801,0.054354564561999136,-0.34181491870600117
1,1,1,10.0,11179030,-9.617971,0.14052900000000013,-0.242402,-6.845094698797993,0.05570540010199898,-0.3470120042260006
1,1,1,10.0,11193317,-11.342271,0.048929,-0.593402,-6.994824187525007,0.0570587933249991,-0.3529825701000011
1,1,1,10.0,11207589,-11.082871,0.03372900000000012,-0.471302,-7.1548500008370075,0.05764864081299911,-0.36058029784400114
1,1,1,10.0,11221911,-12.562971000000001,0.0032290000000001484,-0.608602,-7.324177875399007,0.05791329705099911,-0.3683134903880011
1,1,1,10.0,11236164,-12.089971,1.239229,-0.08980199999999999,-7.499867066562008,0.06676767398799915,-0.3732906664940011
1,1,1,10.0,11250459,-11.235471,0.14052900000000013,-0.944302,-7.666585663256995,0.07662949429299835,-0.3806819248340005
1,1,1,10.0,11264771,-11.769471000000001,-0.4698709999999999,-0.471302,-7.831209028208998,0.0742727229409983,-0.3908119870580007
1,1,1,10.0,11279025,-13.875271,-0.012070999999999943,-0.776502,-8.013979104443012,0.07083792230699804,-0.39970508616600137
1,1,1,10.0,11293298,-11.983171,-0.11887099999999995,-0.501802,-8.198517875776002,0.06990345472399809,-0.4088277026620009
1,1,1,10.0,11307598,-9.465371,-0.14937099999999992,-0.608602,-8.351874951076006,0.06798552442399804,-0.4167670912620011
1,1,1,10.0,11321911,-13.753171,0.35412900000000014,-0.517102,-8.518038446899,0.06945087505099799,-0.4248231919380009
1,1,1,10.0,11336164,-13.493771,0.21682900000000016,-0.8680019999999999,-8.712213779062001,0.07351980723799802,-0.43469413559400094
1,1,1,10.0,11350441,-13.020771,-0.33247099999999996,-0.929102,-8.901487837128998,0.07269429682099803,-0.4475227624980008
1,1,1,10.0,11364748,-13.173371000000001,0.09472900000000006,-0.395002,-9.088867631926005,0.07099360942399796,-0.45699474046200117
1,1,1,10.0,11379036,-15.446971,-0.042570999999999914,-0.7612019999999999,-9.293331355173988,0.07136622617599793,-0.46525466183800046
1,1,1,10.0,11393303,-12.334071,-0.164671,-0.6544019999999999,-9.491507418280992,0.06988786536899791,-0.47535287297200063
1,1,1,10.0,11407618,-8.916071,-0.164671,-0.410202,-9.643605309645991,0.06753060000399794,-0.48297277610200057
1,1,1,10.0,11421876,-12.578271,0.12522900000000003,-0.593402,-9.79683847376399,0.06724941798599794,-0.49012746901800053
1,1,1,10.0,11436191,-13.570071,-0.11887099999999995,-0.791702,-9.983995231629013,0.06729492537099795,-0.5000413508980016
1,1,1,10.0,11450460,-9.709471,0.399929,-0.471302,-10.150083124027999,0.06930013367199778,-0.5090522529360009
1,1,1,10.0,11464721,-9.877371,0.44572900000000004,-0.608602,-10.289747100909011,0.07533009804099829,-0.5167525084080015
1,1,1,10.0,11479029,-11.937371,-0.14937099999999992,-0.6544019999999999,-10.445809765177009,0.07745024317299826,-0.5257880390240013
1,1,1,10.0,11493288,-13.722671,0.155829,-0.471302,-10.628753034615997,0.07749628548399826,-0.5338137456920008
1,1,1,10.0,11507598,-14.836571000000001,-0.164671,-0.776502,-10.833094411125998,0.07743302097399826,-0.5427417833120008
1,1,1,10.0,11521911,-13.188571,0.20152900000000007,-0.303402,-11.033656339848992,0.07769679525099825,-0.5504701162880006
1,1,1,10.0,11536157,-14.165171,-0.012070999999999943,-0.608602,-11.228497044114992,0.07904630458499824,-0.5569663207800005
1,1,1,10.0,11550472,-12.349371,-0.5003709999999999,-0.547602,-11.41827487847999,0.07537850096999828,-0.5652418509100005
1,1,1,10.0,11564745,-10.258871000000001,0.23202900000000004,-0.12030200000000002,-11.579618597513003,0.07346347828699813,-0.5700083478060008
1,1,1,10.0,11579042,-13.112271,0.46092900000000014,-0.547602,-11.746687206099992,0.07841708854999782,-0.5747828595500005
1,1,1,10.0,11593303,-12.440871,0.0032290000000001484,-0.944302,-11.928893885131007,0.0817267671689981,-0.5854208810220014
1,1,1,10.0,11607578,-10.655571,0.3846290000000001,-0.6391020000000001,-12.093744739906002,0.08449510364399802,-0.5967224270720011
1,1,1,10.0,11621893,-11.662671,0.41522900000000007,-0.257602,-12.253487557021,0.09022008727899797,-0.603140585952001
1,1,1,10.0,11636126,-15.370671,0.23202900000000004,-0.669602,-12.445870335364011,0.09482629883599823,-0.6097390332180014
1,1,1,10.0,11650451,-13.722671,-0.2714709999999999,-0.471302,-12.654251397439003,0.09454379551099824,-0.6179107581180011
1,1,1,10.0,11664709,-11.388071,0.44572900000000004,-0.272902,-12.833265877157002,0.09578608079299823,-0.6232161884340011
1,1,1,10.0,11679008,-8.458271,-0.14937099999999992,-0.486502,-12.975157299285996,0.09790489231399814,-0.6286455473320008
1,1,1,10.0,11693282,-11.800071,-0.012070999999999943,-0.578102,-13.11974108614,0.09675268075999811,-0.6362436260800011
1,1,1,10.0,11707598,-12.959771,0.01842900000000003,-0.608602,-13.29697203517601,0.09679819132399811,-0.6447380533120016
1,1,1,10.0,11721850,-12.883471,0.1710290000000001,-0.700202,-13.481130977667998,0.09814826903199803,-0.654064590616001
1,1,1,10.0,11736151,-12.578271,0.18632899999999997,-0.562802,-13.663195163838994,0.10070355741099797,-0.6630957007180007
1,1,1,10.0,11750419,-10.930271000000001,-0.2561709999999999,-0.288202,-13.830905102467009,0.10020530458299792,-0.6691667632540013
1,1,1,10.0,11764709,-10.945471000000001,0.21682900000000016,-0.730702,-13.987207279056998,0.09992420599299795,-0.6764468323340007
1,1,1,10.0,11779020,-11.876271000000001,-0.24097099999999982,-0.700202,-14.15050825393799,0.09975145791199796,-0.6866856659060002
1,1,1,10.0,11793278,-10.625071,0.14052900000000013,-0.791702,-14.310920321056008,0.09903540689399788,-0.6973214495220015
1,1,1,10.0,11807594,-6.367770999999999,0.0032290000000001484,-0.44080199999999997,-14.432555084092,0.10006442665799782,-0.7061437131540009
1,1,1,10.0,11821849,-10.609771,-0.057871000000000006,-0.456002,-14.553562514697003,0.09967496580299781,-0.7125356836640011
1,1,1,10.0,11836152,-10.976071000000001,0.659329,-0.608602,-14.707933663760002,0.10397629268999779,-0.7201491991700011
1,1,1,10.0,11850418,-12.852871,0.155829,-0.715402,-14.877905507045993,0.10979081470399747,-0.7295933197020006
1,1,1,10.0,11864738,-14.256771,-0.08837099999999998,-0.150802,-15.07201054376599,0.11027381398399747,-0.7357953403420004
1,1,1,10.0,11879029,-12.578271,0.293129,-0.379702,-15.26376033637699,0.11173691227299747,-0.7395860566740005
1,1,1,10.0,11893278,-11.281171,-0.14937099999999992,-1.157902,-15.433746930906006,0.11276111614399756,-0.7505407163720015
1,1,1,10.0,11907593,-9.038071,-0.24097099999999982,0.047497999999999985,-15.579181905521004,0.1099672432789976,-0.7584884330020014
1,1,1,10.0,11921886,-13.325971000000001,0.18632899999999997,-0.6391020000000001,-15.739006531674008,0.10957674422599759,-0.7627163309880015
1,1,1,10.0,11936147,-13.783771,-0.012070999999999943,-1.051102,-15.932312547004999,0.11081929089499754,-0.774768330610001
1,1,1,10.0,11950408,-15.385971,-0.2561709999999999,-0.974802,-16.14030739233599,0.10890659131399762,-0.7892140390820005
1,1,1,10.0,11964720,-15.889471,-0.2714709999999999,-0.364502,-16.364114455287996,0.10513078516199753,-0.7987980985060007
1,1,1,10.0,11979020,-16.881370999999998,0.2778290000000001,-0.333902,-16.598425975588004,0.10517624486199753,-0.8037916871060008
1,1,1,10.0,11993270,-14.638271,0.06422900000000009,-0.532302,-16.823003424838014,0.10761340811199763,-0.809963390606001
1,1,1,10.0,12007548,-11.815271000000001,0.0032290000000001484,-0.593402,-17.011855261176002,0.1080949907739976,-0.8179997914620005
1,1,1,10.0,12021861,-13.921071000000001,0.048929,-0.318702,-17.196037392698997,0.10846825950099759,-0.8245272637380003
1,1,1,10.0,12036158,-10.060471,0.07952899999999996,-0.242402,-17.36746944568601,0.10938654151399764,-0.8285383156820005
1,1,1,10.0,12050407,-11.159171,0.583029,-0.822202,-17.518648785115005,0.11410693598499748,-0.8361230868800003
1,1,1,10.0,12064721,-13.112271,0.09472900000000006,-0.196602,-17.692359495509013,0.11895764999099769,-0.8434146671080006
1,1,1,10.0,12079008,-10.625071,-0.027371000000000034,-0.425502,-17.861927198086008,0.11943882186399767,-0.8478586670320004
1,1,1,10.0,12093271,-8.824471,-0.164671,-0.6544019999999999,-18.000631606859006,0.11806927434099769,-0.8555600024080002
1,1,1,10.0,12107548,-6.627171000000001,0.03372900000000012,-0.425502,-18.110933153276005,0.1171345448739977,-0.8632688971120002
1,1,1,10.0,12121866,-11.296471,0.0032290000000001484,-0.623902,-18.239248506354016,0.11739912719599772,-0.8707815803480008
1,1,1,10.0,12136124,-13.783771,-0.027371000000000034,-0.807002,-18.418045551572014,0.11722701887799773,-0.8809824949640007
1,1,1,10.0,12150399,-14.851871000000001,0.35412900000000014,-0.517102,-18.62243244634701,0.11955925410299767,-0.8904332872640004
1,1,1,10.0,12164709,-14.317771,0.23202900000000004,-0.776502,-18.83114123485701,0.12375321459299768,-0.8996890238840004
1,1,1,10.0,12179025,-14.973971,-0.164671,-0.471302,-19.040811524092998,0.12423536315699765,-0.9086208049159998
1,1,1,10.0,12193291,-11.693171000000001,0.21682900000000016,-0.471302,-19.231028247979012,0.12460740617099768,-0.9153443992480003
1,1,1,10.0,12207566,-8.351471,0.1710290000000001,-0.547602,-19.374096880254008,0.1273757426459976,-0.922616826548
1,1,1,10.0,12221876,-12.028871,0.293129,-0.364502,-19.519918227264007,0.1306967931359976,-0.929142930668
1,1,1,10.0,12236122,-15.431771000000001,0.07952899999999996,-0.6544019999999999,-19.715520380230007,0.1333512360699976,-0.93640058386
1,1,1,10.0,12250397,-15.431771000000001,0.07952899999999996,-0.822202,-19.935808911255002,0.13448651254499758,-0.9469398449099997
1,1,1,10.0,12264710,-11.250671,0.048929,-0.807002,-20.126761807427997,0.13540582222199754,-0.9585992433359993
1,1,1,10.0,12278962,-11.601671,-0.21047099999999985,-0.562802,-20.289607596520007,0.1342546739299975,-0.9683604666399999
1,1,1,10.0,12293278,-13.097071,0.01842900000000003,-0.456002,-20.466401191756017,0.13288003729399742,-0.9756530656720003
1,1,1,10.0,12307542,-10.640271,0.262629,-0.135602,-20.635695914900005,0.13488454294999727,-0.9798723854
1,1,1,10.0,12321840,-12.471471000000001,-0.10367099999999985,-0.898502,-20.800921758458006,0.13602093369199728,-0.9872651948960001
1,1,1,10.0,12336102,-12.959771,-0.012070999999999943,-0.822202,-20.98227194516001,0.13519557748999725,-0.9995355351200005
1,1,1,10.0,12350419,-13.844771,0.262629,-0.456002,-21.174152259067014,0.13698919693299727,-1.0086855584540007
1,1,1,10.0,12364679,-13.066571,0.048929,-0.807002,-21.366030127527015,0.1392106054729973,-1.0176907769740007
1,1,1,10.0,12378990,-11.143871,-0.17997099999999988,-0.456002,-21.539267945258008,0.13827293444199734,-1.0267282020960002
1,1,1,10.0,12393259,-10.411471,0.399929,-0.257602,-21.693054532757014,0.1398422247929974,-1.0318194098340003
1,1,1,10.0,12407566,-11.571171,-0.042570999999999914,-0.593402,-21.850307362304,0.1423985852459972,-1.0379070669479997
1,1,1,10.0,12421821,-11.555871,-0.24097099999999982,-0.578102,-22.015145354159007,0.14037763964099714,-1.046256961708
1,1,1,10.0,12436130,-8.336171,-0.2714709999999999,-0.456002,-22.157462968648016,0.13671137335199693,-1.0536554587760003
1,1,1,10.0,12450407,-11.449071,-0.13417100000000004,-0.578102,-22.298699918665015,0.13381569793499695,-1.0610374101800002
1,1,1,10.0,12464671,-14.897671,0.18632899999999997,-0.6391020000000001,-22.486604882609,0.13418768879099693,-1.0697185091079995
1,1,1,10.0,12478971,-13.356471,0.33892900000000004,-0.883302,-22.688621997909006,0.13794328349099705,-1.0806036977079998
1,1,1,10.0,12493241,-14.287271,-0.14937099999999992,-1.264802,-22.885860097079004,0.13929577982099703,-1.0959304197479995
1,1,1,10.0,12507561,-12.837671,0.399929,-0.12030200000000002,-23.080074681799022,0.1410897751009972,-1.1058477643880005
1,1,1,10.0,12521850,-11.662671,0.048929,-1.0054020000000001,-23.25511737521802,0.14429664108199716,-1.1138903566160003
1,1,1,10.0,12536100,-9.343271,0.12522900000000003,-0.242402,-23.404784711968006,0.14553751683199706,-1.1227809601159995
1,1,1,10.0,12550408,-11.616871,0.33892900000000004,-0.517102,-23.554733567836003,0.148858103163997,-1.1282144517319994
1,1,1,10.0,12564670,-13.188571,-0.13417100000000004,-1.081602,-23.73162117473801,0.15031823246199705,-1.1396148099559997
1,1,1,10.0,12578973,-10.579271,-0.45457099999999995,-0.318702,-23.90159689680101,0.14610784404899707,-1.1496290840119996
1,1,1,10.0,12593270,-9.846871,0.8729290000000001,-0.395002,-24.04761317288802,0.14909847621199726,-1.154730997056
1,1,1,10.0,12607537,-14.333071,-0.19517099999999998,-0.684902,-24.22010078914502,0.15393326290499734,-1.16243449224
1,1,1,10.0,12621802,-15.004471,-0.012070999999999943,-0.166102,-24.429350807460022,0.15245510933999734,-1.1685042782700001
