#tau_s	sigma2_x	sigma2_y	sigma2_z	K_used
1	2.058770465356e-08	2.148748009481e-08	2.491761262582e-08	3601
2	1.116855622126e-08	1.036316634767e-08	1.136989787559e-08	1800
3	7.712455836181e-09	8.118924904456e-09	8.188811308322e-09	1199
4	6.048453965528e-09	5.877193464805e-09	6.124704020754e-09	899
5	5.035854704974e-09	4.950256013542e-09	5.107018544939e-09	719
6	4.242105006260e-09	4.090968072563e-09	4.265114523884e-09	599
7	3.731442874667e-09	3.210793950411e-09	3.953972424239e-09	513
8	3.157574171035e-09	3.003870439275e-09	2.973646269448e-09	449
9	3.091606211541e-09	2.780212462831e-09	3.289474373249e-09	398
10	2.607256367171e-09	2.305609434625e-09	2.334842024332e-09	358
11	2.327091573498e-09	2.065264593240e-09	2.579519972519e-09	326
12	2.363455762437e-09	1.979272488811e-09	2.245872901683e-09	298
13	2.240012637762e-09	1.703503679868e-09	2.095921665344e-09	275
14	2.016103918432e-09	1.703848925280e-09	2.280269326979e-09	256
15	1.778952590543e-09	1.446944508897e-09	1.768403308227e-09	238
16	1.751163310353e-09	1.421129320531e-09	1.952751461149e-09	223
17	1.907803658071e-09	1.600619180742e-09	2.011321582162e-09	210
18	1.291010498882e-09	1.369380656335e-09	2.201384783886e-09	199
19	1.635655473299e-09	1.258611539554e-09	1.570810963197e-09	188
20	1.430238416506e-09	1.412720128031e-09	1.690407734862e-09	179
21	1.455550979029e-09	1.247103337122e-09	1.587635651421e-09	170
22	1.524830815764e-09	1.153915804823e-09	1.805596450055e-09	162
23	1.283881715111e-09	1.301943287515e-09	1.716178515438e-09	155
24	1.345126837582e-09	1.290217824781e-09	1.742001488499e-09	149
25	1.175965215556e-09	1.196380245832e-09	1.564047545455e-09	143
26	1.001393937880e-09	1.296896624146e-09	1.653174244296e-09	137
27	1.168678835800e-09	1.265096617107e-09	1.718926933204e-09	132
28	8.691667970899e-10	1.155065830447e-09	1.547517097861e-09	127
29	9.517611907503e-10	1.063343484052e-09	1.526008097412e-09	123
30	7.682889611676e-10	8.449300091212e-10	1.345528507709e-09	118
31	8.970168752109e-10	1.154216046764e-09	1.359838315995e-09	115
32	9.751560081161e-10	1.164809481824e-09	1.473907404407e-09	111
33	8.595496133294e-10	1.039681556135e-09	1.552546686210e-09	108
34	9.698631116678e-10	9.107542825275e-10	1.602423900805e-09	104
35	8.670881411933e-10	7.555432193090e-10	1.531733562793e-09	101
36	1.006207430545e-09	8.065212449700e-10	1.361495743782e-09	99
37	8.387923386997e-10	9.041665515816e-10	1.149792016336e-09	96
38	1.025856557631e-09	7.611317722307e-10	1.440613844769e-09	93
39	7.246331996779e-10	7.861212618222e-10	1.444243100933e-09	91
40	8.266481004035e-10	9.637024345517e-10	1.310920701569e-09	89
41	8.881199940862e-10	7.905539381071e-10	1.519013306862e-09	86
42	8.908920602928e-10	8.298590392515e-10	1.208122516336e-09	84
43	7.516544432326e-10	7.747189897451e-10	1.132090938773e-09	82
44	7.490483704104e-10	8.004713845317e-10	1.330370765973e-09	80
45	7.959246783072e-10	8.778604218756e-10	1.156989131806e-09	78
46	9.027303542365e-10	5.530964039920e-10	1.092722030538e-09	77
47	5.978717614897e-10	6.170873318067e-10	1.184546901485e-09	75
48	8.290046421812e-10	6.765449538735e-10	1.367388488737e-09	73
49	6.382891958689e-10	6.247444874971e-10	1.174113076950e-09	72
50	6.568580428351e-10	6.220225304499e-10	1.263446341356e-09	70
51	6.539121145713e-10	6.668170552039e-10	1.293502525715e-09	69
52	6.327755831626e-10	6.151550856109e-10	1.194315706083e-09	68
53	6.485736608883e-10	6.204143312120e-10	1.092847233407e-09	66
54	7.692210529404e-10	5.921095407240e-10	1.124091671268e-09	65
55	5.893109336993e-10	6.415828975489e-10	1.088269676893e-09	64
56	6.705213109688e-10	6.430481424120e-10	7.916398171249e-10	63
57	5.945167202945e-10	6.255978307273e-10	9.754219058336e-10	62
58	6.850445793658e-10	7.286042548695e-10	1.150703250594e-09	61
59	5.887862031245e-10	6.273519717263e-10	1.064217569677e-09	60
60	5.697856535580e-10	5.082160597155e-10	1.293045284827e-09	59
61	7.135437871433e-10	6.657366189506e-10	1.253762993036e-09	58
62	4.774372458342e-10	5.320480343624e-10	8.658198422335e-10	57
63	5.844069388564e-10	5.482217198687e-10	1.103953830683e-09	56
64	8.501452251241e-10	5.917098727170e-10	1.257916496129e-09	55
65	4.522457362839e-10	4.821646630884e-10	1.016685246261e-09	54
66	4.867697402709e-10	6.156621550296e-10	1.082019587882e-09	53
67	6.038971613094e-10	5.261933357476e-10	1.153796227934e-09	52
68	5.584886092074e-10	6.587064770361e-10	1.191073209762e-09	51
69	5.236187591750e-10	5.767299874882e-10	8.056523218357e-10	51
70	3.495114190813e-10	5.982582234454e-10	1.394207810019e-09	50
71	5.940526320657e-10	5.059160254387e-10	7.659106457315e-10	49
72	6.649587072776e-10	5.596609931008e-10	9.959635105293e-10	49
73	5.083309019372e-10	7.285220590877e-10	1.084555082565e-09	48
74	6.163171869884e-10	5.187491390728e-10	1.130705562875e-09	47
75	5.310409189765e-10	6.512761987449e-10	1.165443938696e-09	47
76	4.864313258652e-10	6.436477642396e-10	1.251450683577e-09	46
77	3.062746384535e-10	5.430330669896e-10	1.114377294455e-09	45
78	3.908955026919e-10	5.967242511844e-10	1.126466620299e-09	45
79	3.771579604753e-10	5.854641436701e-10	8.582208415036e-10	44
80	5.105053392690e-10	6.297287609148e-10	1.021650449395e-09	43
81	3.271648968949e-10	5.115017520455e-10	9.740893153680e-10	43
82	4.371228652696e-10	5.584264559317e-10	1.082709074132e-09	42
83	3.947356541974e-10	6.051457211713e-10	1.005989146402e-09	42
84	4.908674356949e-10	6.396818003346e-10	9.840480675585e-10	41
85	3.912171902405e-10	6.904060374332e-10	9.975202943231e-10	41
86	5.582603197214e-10	6.905063851692e-10	1.018021713560e-09	40
87	2.559153500425e-10	6.557849414171e-10	1.216616934364e-09	40
88	3.299266575138e-10	7.162369755168e-10	1.123880230300e-09	39
89	3.644825867284e-10	6.184686537498e-10	1.121455078802e-09	39
90	3.954557264423e-10	6.454521432708e-10	1.182706575693e-09	39
91	5.251444489745e-10	6.435391251644e-10	9.443084064567e-10	38
92	2.997760455019e-10	5.198091785398e-10	1.018336435465e-09	38
93	4.566246011018e-10	6.910967795108e-10	1.095623387983e-09	37
94	3.942408507913e-10	6.848003521511e-10	8.407663503855e-10	37
95	3.881446347840e-10	6.991173683017e-10	8.953339315329e-10	36
96	4.714934048687e-10	7.099439153000e-10	8.877960121182e-10	36
97	3.333543665927e-10	6.910303773401e-10	9.189532481836e-10	36
98	4.010236716757e-10	7.618306946785e-10	8.677604234886e-10	35
99	4.574986086682e-10	8.335327301862e-10	1.043737266973e-09	35
100	3.164623137135e-10	6.432795195021e-10	1.033668964596e-09	34
101	2.904950222090e-10	5.680340376559e-10	9.098873320666e-10	34
102	4.332598467221e-10	6.002016658901e-10	8.747592826096e-10	34
103	3.208119880903e-10	7.087510354047e-10	9.043138728689e-10	33
104	2.423491234863e-10	6.314874974282e-10	9.485724322149e-10	33
105	3.163980447472e-10	6.188729128832e-10	1.017029176037e-09	33
106	3.615853556451e-10	7.167627132739e-10	1.022933643705e-09	32
107	3.762702077845e-10	7.689089082051e-10	1.219702252799e-09	32
108	4.554601522734e-10	7.233036730156e-10	9.984418614031e-10	32
109	2.432750038754e-10	6.113734690931e-10	1.091722940665e-09	32
110	2.334184542194e-10	7.780515603018e-10	1.035202016649e-09	31
111	3.992804849832e-10	7.201413466224e-10	9.965443387654e-10	31
112	4.010641751131e-10	8.362584728572e-10	9.156083145804e-10	31
113	4.144784963567e-10	8.321065547065e-10	1.193051618807e-09	30
114	2.834602473718e-10	8.978972618514e-10	1.185311528513e-09	30
115	4.525729612539e-10	6.504323605172e-10	1.092584223299e-09	30
116	3.782552278466e-10	6.726036200407e-10	1.014375899167e-09	30
117	2.817492356050e-10	7.321437349106e-10	9.840552172989e-10	29
118	3.303143798239e-10	8.593455397317e-10	9.905669912962e-10	29
119	4.513894930800e-10	7.966519202436e-10	1.092495655077e-09	29
120	3.973935888406e-10	6.890618166513e-10	9.294038599006e-10	28
121	3.412204275275e-10	7.209531820299e-10	6.217361053408e-10	28
122	2.801541213233e-10	8.116774071456e-10	6.845755615738e-10	28
123	3.059336878320e-10	8.838391573905e-10	9.199483667833e-10	28
124	3.861615124304e-10	8.251322484720e-10	1.049661906027e-09	28
